Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,Projection
WR,Johnny King (28793135),Johnny King,28793135,WR/FLEX,3000,PHI@NE 09/10/2023 04:25PM ET,PHI,0
WR,Trent Taylor (28793167),Trent Taylor,28793167,WR/FLEX,3000,GB@CHI 09/10/2023 04:25PM ET,CHI,1.3
WR,Amari Rodgers (28793203),Amari Rodgers,28793203,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,C.J. Saunders (28793221),C.J. Saunders,28793221,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0
WR,Javon Wims (28792783),Javon Wims,28792783,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,CAR,0
WR,Shi Smith (28793217),Shi Smith,28793217,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,CAR,0
WR,Damiere Byrd (28793219),Damiere Byrd,28793219,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,CAR,0
WR,Derek Wright (28793223),Derek Wright,28793223,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,CAR,0
WR,Gary Jennings (28793225),Gary Jennings,28793225,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,CAR,0
WR,Josh Vann (28793227),Josh Vann,28793227,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,CAR,0
WR,Marquez Stevenson (28793229),Marquez Stevenson,28793229,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,CAR,0
WR,KhaDarel Hodge (28793231),KhaDarel Hodge,28793231,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,ATL,2
WR,Frank Darby (28793233),Frank Darby,28793233,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0
WR,Penny Hart (28793235),Penny Hart,28793235,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0
WR,Josh Ali (28793237),Josh Ali,28793237,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0.5
WR,J.J. Arcega-Whiteside (28793239),J.J. Arcega-Whiteside,28793239,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0
WR,Chris Blair (28793241),Chris Blair,28793241,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0
WR,Keilahn Harris (28793243),Keilahn Harris,28793243,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0
WR,Zay Malone (28793245),Zay Malone,28793245,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0
WR,Slade Bolden (28793247),Slade Bolden,28793247,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0
TE,Hayden Hurst (28793305),Hayden Hurst,28793305,TE/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,CAR,7.4
WR,Mathew Sexton (29001060),Mathew Sexton,29001060,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0
WR,Ihmir Smith-Marsette (29276428),Ihmir Smith-Marsette,29276428,WR/FLEX,3000,CAR@ATL 09/10/2023 01:00PM ET,CAR,0
WR,Nelson Agholor (28793179),Nelson Agholor,28793179,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,BAL,4.9
WR,James Proche II (28793181),James Proche II,28793181,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0
WR,Tylan Wallace (28793183),Tylan Wallace,28793183,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0
